prompt,response,ground truth
"Can you remove clouds from an aerial image captured in the town of Boulder, Colorado, on 20/03/2019?","I'm ready to assist. To proceed, please provide the latitude and longitude coordinates or a specific address within Boulder, Colorado.",aircraft category object detection
"Remove clouds from an aerial image taken in the village of Santa Monica, California, on 05/07/2022.","For accurate cloud removal, please provide me with the latitude and longitude coordinates or a detailed location description within Santa Monica, California.",aircraft category object detection
"I need you to remove clouds from an aerial image captured in the administrative area of Ward 4, Washington, D.C., during the previous summer (June 2020).","Understood. To proceed, please provide the specific latitude and longitude coordinates or a detailed address within Ward 4, Washington, D.C.",calculate Normalized difference vegetation index (NDVI)
"Remove clouds from an aerial image taken in the subdistrict of Venice, Italy, on 25/09/2021.","I can assist with that. To proceed, please provide the latitude and longitude coordinates or a detailed location description within Venice, Italy.",change of building/land/water body detection
"Can you remove clouds from an aerial image captured in the commune of Zurich, Switzerland, on 01/12/2019?","For accurate cloud removal, please provide me with the latitude and longitude coordinates or a specific address within Zurich, Switzerland.",tree counting/detection
"Remove clouds from an aerial image taken in the town of Austin, Texas, on 08/04/2022.","I'm here to assist. To proceed, please provide the latitude and longitude coordinates or a detailed location description within Austin, Texas.",calculate Normalized difference vegetation index (NDVI)
"I need you to remove clouds from an aerial image captured in the village of Kyoto, Japan, on 30/06/2020.","Understood. To ensure accuracy, please provide the specific latitude and longitude coordinates or a detailed address within Kyoto, Japan.",change of building/land/water body detection
"Remove clouds from an aerial image taken in the subdistrict of Manhattan, New York City, on 15/07/2018.","To proceed, please provide me with the exact coordinates or a detailed location description within the subdistrict of Manhattan, New York City.",land use/land cover in segmentation
"I need you to remove clouds from an aerial image captured in the commune of Lyon, France, during the previous summer (June 2016).","To proceed, could you provide the specific latitude and longitude coordinates or a detailed address within Lyon, France?",change of building/land/water body detection
"Remove clouds from an aerial image taken in Ward 7, Seattle, on 25/12/2017.","Understood. For accurate cloud removal, please provide me with the latitude and longitude coordinates or a specific address within Ward 7, Seattle.",land use/land cover in segmentation
"Can you remove clouds from an aerial image captured in the town of Boulder, Colorado, on 10/03/2019?","I'm ready to assist. To proceed, please provide the latitude and longitude coordinates or a detailed location description within Boulder, Colorado.",car/automobile/four-wheeler/motorcar vehicle like object counting/detection
"Remove clouds from an aerial image taken in the administrative area of Ward 4, Washington, D.C., on 15/09/2016.","I can help with that. To proceed, please provide the specific latitude and longitude coordinates or a detailed address within Ward 4, Washington, D.C.",calculate Normalized difference vegetation index (NDVI)
"I need you to remove clouds from an aerial image captured in the village of Santa Monica, California, on 03/06/2017.","Understood. For accurate cloud removal, please provide me with the latitude and longitude coordinates or a specific address within Santa Monica, California.",car/automobile/four-wheeler/motorcar vehicle like object counting/detection
"Remove clouds from an aerial image taken in the subdistrict of Venice, Italy, on 20/11/2015.","To proceed, please provide the latitude and longitude coordinates or a detailed location description within Venice, Italy.",calculate Normalized difference vegetation index (NDVI)
"Can you remove clouds from an aerial image captured in the commune of Zurich, Switzerland, on 01/12/2019?","I'm here to assist. To proceed, please provide the specific latitude and longitude coordinates or a detailed address within Zurich, Switzerland.",tree counting/detection
"Remove clouds from an aerial image taken in the town of Austin, Texas, on 08/04/2016.","I can assist with that. For accurate cloud removal, please provide me with the latitude and longitude coordinates or a specific address within Austin, Texas.",cloud removal from aerial image
"I need you to remove clouds from an aerial image captured in the subdistrict of Kyoto, Japan, on 30/06/2017.","Understood. To ensure accuracy, please provide the specific latitude and longitude coordinates or a detailed address within the subdistrict of Kyoto, Japan.",car/automobile/four-wheeler/motorcar vehicle like object counting/detection
Identify any changes in water bodies in a location captured on 15/03/2019.,"To proceed, please provide the specific location details, including the administrative area, ward, commune, subdistrict, town, or village where you want me to detect changes in water bodies.",change of building/land/water body detection
I need you to detect changes in land usage in a location from today (13/11/2015) up to last summer (June 2015).,"However, to proceed, I'll need you to specify the precise location for the analysis, including the administrative area or ward level.",land use/land cover in segmentation
Identify any changes in building structures within a location from 01/01/2020 to today (13/11/2015).,"Understood. To provide accurate results, please specify the exact location, including the commune or subdistrict level, for this analysis.",cloud removal from aerial image
Can you detect changes in water bodies in a location from the previous summer (June 2015) to today (13/11/2015)?,"I'm here to assist. However, for precise results, please provide the specific location details, including the town or village level.",cloud removal from aerial image
Identify any changes in land usage within a location from today (13/11/2015) up to two summers ago (June 2013).,"To proceed, could you specify the exact location, including the administrative area or ward, for this analysis?",tree counting/detection
I want to detect changes in building structures within a location from 01/01/2018 to today (13/11/2015).,"I'm ready to assist. To ensure accurate results, please provide the specific location details, including the commune or subdistrict level.",land use/land cover in segmentation
Can you identify changes in water bodies in a location from today (13/11/2015) up to last month (October 2015)?,"However, for precise results, please specify the exact location, including the town or village level.",car/automobile/four-wheeler/motorcar vehicle like object counting/detection
I need you to detect changes in land usage within a location from the previous summer (June 2014) to today (13/11/2015).,"Understood. To proceed, could you specify the exact location details, including the administrative area or ward?",land use/land cover in segmentation
Identify any changes in building structures within a location from 01/01/2017 to today (13/11/2015).,"I'm here to assist. For accurate results, please provide the specific location details, including the commune or subdistrict level.",tree counting/detection
Can you detect changes in water bodies in a location from today (13/11/2015) up to two months ago (September 2015)?,"However, for precise results, please specify the exact location, including the town or village level.",cloud removal from aerial image
Calculate the NDVI for a location captured on 15/03/2019.,"To proceed, please provide the specific location details, including the administrative area, ward, commune, subdistrict, town, or village where you want me to calculate the NDVI.",tree counting/detection
Calculate the NDVI for a location from today (09/09/2020) up to last summer (June 2020).,"However, to proceed, I'll need you to specify the precise location for the analysis, including the administrative area or ward level.",aircraft category object detection
Calculate the NDVI for a location from 01/01/2020 to today (09/09/2020).,"Understood. To provide accurate results, please specify the exact location, including the commune or subdistrict level, for this analysis.",car/automobile/four-wheeler/motorcar vehicle like object counting/detection
Can you calculate the NDVI for a location from the previous summer (June 2020) to today (09/09/2020)?,"I'm here to assist. However, for precise results, please provide the specific location details, including the town or village level.",land use/land cover in segmentation
Calculate the NDVI for a location from today (09/09/2020) up to two summers ago (June 2018).,"To proceed, could you specify the exact location, including the administrative area or ward, for this analysis?",car/automobile/four-wheeler/motorcar vehicle like object counting/detection
I want to calculate the NDVI for a location from 01/01/2019 to today (09/09/2020).,"I'm ready to assist. To ensure accurate results, please provide the specific location details, including the commune or subdistrict level.",aircraft category object detection
Can you calculate the NDVI for a location from today (09/09/2020) up to last month (August 2020)?,"However, for precise results, please specify the exact location, including the town or village level.",change of building/land/water body detection
I need you to calculate the NDVI for a location from the previous summer (June 2019) to today (09/09/2020).,"Understood. To proceed, could you specify the exact location details, including the administrative area or ward?",change of building/land/water body detection
Calculate the NDVI for a location from 01/01/2017 to today (09/09/2020).,"I'm here to assist. For accurate results, please provide the specific location details, including the commune or subdistrict level.",calculate Normalized difference vegetation index (NDVI)
Can you calculate the NDVI for a location from today (09/09/2020) up to two months ago (July 2020)?,"However, for precise results, please specify the exact location, including the town or village level.",cloud removal from aerial image
Calculate the NDVI for a location captured on 15/03/2019.,"To proceed, please provide the specific location details, including the administrative area, ward, commune, subdistrict, town, or village where you want me to calculate the NDVI.",car/automobile/four-wheeler/motorcar vehicle like object counting/detection
Calculate the NDVI for a location from today (14/01/2011) up to last summer (June 2010).,"However, to proceed, I'll need you to specify the precise location for the analysis, including the administrative area or ward level.",aircraft category object detection
Calculate the NDVI for a location from 01/01/2010 to today (14/01/2011).,"Understood. To provide accurate results, please specify the exact location, including the commune or subdistrict level, for this analysis.",tree counting/detection
Can you calculate the NDVI for a location from the previous summer (June 2010) to today (14/01/2011)?,"I'm here to assist. However, for precise results, please provide the specific location details, including the town or village level.",cloud removal from aerial image
Calculate the NDVI for a location from today (14/01/2011) up to two summers ago (June 2009).,"To proceed, could you specify the exact location, including the administrative area or ward, for this analysis?",land use/land cover in segmentation
I want to calculate the NDVI for a location from 01/01/2008 to today (14/01/2011).,"I'm ready to assist. To ensure accurate results, please provide the specific location details, including the commune or subdistrict level.",cloud removal from aerial image
Can you calculate the NDVI for a location from today (14/01/2011) up to last month (December 2010)?,"However, for precise results, please specify the exact location, including the town or village level.",tree counting/detection
I need you to calculate the NDVI for a location from the previous summer (June 2008) to today (14/01/2011).,"Understood. To proceed, could you specify the exact location details, including the administrative area or ward?",change of building/land/water body detection
Calculate the NDVI for a location from 01/01/2006 to today (14/01/2011).,"I'm here to assist. For accurate results, please provide the specific location details, including the commune or subdistrict level.",car/automobile/four-wheeler/motorcar vehicle like object counting/detection
Can you calculate the NDVI for a location from today (14/01/2011) up to two months ago (November 2010)?,"However, for precise results, please specify the exact location, including the town or village level.",aircraft category object detection
Perform land use/land cover segmentation for a location captured on 15/03/2019.,"To proceed, please provide the specific location details, including the administrative area, ward, commune, subdistrict, town, or village where you want me to perform land use/land cover segmentation.",calculate Normalized difference vegetation index (NDVI)
Perform land use/land cover segmentation for a location from today (11/04/2011) up to last summer (June 2010).,"However, to proceed, I'll need you to specify the precise location for the analysis, including the administrative area or ward level.",land use/land cover in segmentation
Perform land use/land cover segmentation for a location from 01/01/2010 to today (11/04/2011).,"Understood. To provide accurate results, please specify the exact location, including the commune or subdistrict level, for this analysis.",aircraft category object detection
Can you perform land use/land cover segmentation for a location from the previous summer (June 2010) to today (11/04/2011)?,"I'm here to assist. However, for precise results, please provide the specific location details, including the town or village level.",calculate Normalized difference vegetation index (NDVI)
Perform land use/land cover segmentation for a location from today (11/04/2011) up to two summers ago (June 2009).,"To proceed, could you specify the exact location, including the administrative area or ward, for this analysis?",calculate Normalized difference vegetation index (NDVI)
I want to perform land use/land cover segmentation for a location from 01/01/2008 to today (11/04/2011).,"I'm ready to assist. To ensure accurate results, please provide the specific location details, including the commune or subdistrict level.",land use/land cover in segmentation
Can you perform land use/land cover segmentation for a location from today (11/04/2011) up to last month (March 2011)?,"However, for precise results, please specify the exact location, including the town or village level.",aircraft category object detection
I need you to perform land use/land cover segmentation for a location from the previous summer (June 2008) to today (11/04/2011).,"Understood. To proceed, could you specify the exact location details, including the administrative area or ward?",tree counting/detection
Perform land use/land cover segmentation for a location from 01/01/2006 to today (11/04/2011).,"I'm here to assist. For accurate results, please provide the specific location details, including the commune or subdistrict level.",cloud removal from aerial image
Can you perform land use/land cover segmentation for a location from today (11/04/2011) up to two months ago (February 2011)?,"However, for precise results, please specify the exact location, including the town or village level.",cloud removal from aerial image
"Remove clouds from an aerial image taken in the commune of Lyon, France, on 15/03/2019.","To proceed, please provide me with the exact coordinates or a detailed address within the commune of Lyon, France.",aircraft category object detection
"I need you to remove clouds from an aerial image captured in the subdistrict of Manhattan, New York City, during the previous summer (June 2013).","To proceed, could you provide the specific latitude and longitude coordinates or a detailed address within the subdistrict of Manhattan, New York City?",calculate Normalized difference vegetation index (NDVI)
"Remove clouds from an aerial image taken in Ward 7, Seattle, on 01/01/2020.","Understood. For accurate cloud removal, please provide me with the latitude and longitude coordinates or a specific address within Ward 7, Seattle.",calculate Normalized difference vegetation index (NDVI)
"Can you remove clouds from an aerial image captured in the village of Santa Monica, California, on 10/03/2017?","I'm ready to assist. To proceed, please provide the latitude and longitude coordinates or a detailed location description within Santa Monica, California.",car/automobile/four-wheeler/motorcar vehicle like object counting/detection
"Remove clouds from an aerial image taken in the administrative area of Ward 4, Washington, D.C., on 15/09/2018.","I can assist with that. To proceed, please provide the specific latitude and longitude coordinates or a detailed address within Ward 4, Washington, D.C.",land use/land cover in segmentation
"I need you to remove clouds from an aerial image captured in the town of Boulder, Colorado, on 05/07/2020.","Understood. For accurate cloud removal, please provide me with the latitude and longitude coordinates or a specific address within Boulder, Colorado.",land use/land cover in segmentation
"Remove clouds from an aerial image taken in the commune of Zurich, Switzerland, on 30/06/2016.","To proceed, please provide the latitude and longitude coordinates or a detailed location description within Zurich, Switzerland.",calculate Normalized difference vegetation index (NDVI)
"Can you remove clouds from an aerial image captured in the subdistrict of Venice, Italy, on 01/12/2019?","I'm here to assist. To proceed, please provide the latitude and longitude coordinates or a detailed location description within Venice, Italy.",aircraft category object detection
"Remove clouds from an aerial image taken in the administrative area of Ward 6, Washington, D.C., on 03/04/2015.","I can assist with that. For accurate cloud removal, please provide me with the specific latitude and longitude coordinates or a detailed address within Ward 6, Washington, D.C.",calculate Normalized difference vegetation index (NDVI)
"I need you to remove clouds from an aerial image captured in the subdistrict of Kyoto, Japan, on 25/09/2017.","Understood. To ensure accuracy, please provide the specific latitude and longitude coordinates or a detailed address within the subdistrict of Kyoto, Japan.",aircraft category object detection
Perform land use/land cover segmentation for a location captured on 15/03/2019.,"To proceed, please provide the specific location details, including the administrative area, ward, commune, subdistrict, town, or village where you want me to perform land use/land cover segmentation.",calculate Normalized difference vegetation index (NDVI)
Perform land use/land cover segmentation for a location from today (23/08/2010) up to last summer (June 2010).,"However, to proceed, I'll need you to specify the precise location for the analysis, including the administrative area or ward level.",calculate Normalized difference vegetation index (NDVI)
Perform land use/land cover segmentation for a location from 01/01/2010 to today (23/08/2010).,"Understood. To provide accurate results, please specify the exact location, including the commune or subdistrict level, for this analysis.",change of building/land/water body detection
Can you perform land use/land cover segmentation for a location from the previous summer (June 2010) to today (23/08/2010)?,"I'm here to assist. However, for precise results, please provide the specific location details, including the town or village level.",aircraft category object detection
Perform land use/land cover segmentation for a location from today (23/08/2010) up to two summers ago (June 2009).,"To proceed, could you specify the exact location, including the administrative area or ward, for this analysis?",car/automobile/four-wheeler/motorcar vehicle like object counting/detection
I want to perform land use/land cover segmentation for a location from 01/01/2008 to today (23/08/2010).,"I'm ready to assist. To ensure accurate results, please provide the specific location details, including the commune or subdistrict level.",change of building/land/water body detection
Can you perform land use/land cover segmentation for a location from today (23/08/2010) up to last month (July 2010)?,"However, for precise results, please specify the exact location, including the town or village level.",land use/land cover in segmentation
I need you to perform land use/land cover segmentation for a location from the previous summer (June 2008) to today (23/08/2010).,"Understood. To proceed, could you specify the exact location details, including the administrative area or ward?",car/automobile/four-wheeler/motorcar vehicle like object counting/detection
Perform land use/land cover segmentation for a location from 01/01/2006 to today (23/08/2010).,"I'm here to assist. For accurate results, please provide the specific location details, including the commune or subdistrict level.",aircraft category object detection
Can you perform land use/land cover segmentation for a location from today (23/08/2010) up to two months ago (June 2010)?,"However, for precise results, please specify the exact location, including the town or village level.",land use/land cover in segmentation
"Remove clouds from an aerial image taken in the commune of Lyon, France, on 15/03/2019.","To proceed, please provide me with the exact coordinates or a detailed address within the commune of Lyon, France.",car/automobile/four-wheeler/motorcar vehicle like object counting/detection
"I need you to remove clouds from an aerial image captured in the subdistrict of Manhattan, New York City, during the previous summer (June 2013).","To proceed, could you provide the specific latitude and longitude coordinates or a detailed address within the subdistrict of Manhattan, New York City?",cloud removal from aerial image
"Remove clouds from an aerial image taken in Ward 7, Seattle, on 01/01/2020.","Understood. For accurate cloud removal, please provide me with the latitude and longitude coordinates or a specific address within Ward 7, Seattle.",aircraft category object detection
"Can you remove clouds from an aerial image captured in the village of Santa Monica, California, on 10/03/2017?","I'm ready to assist. To proceed, please provide the latitude and longitude coordinates or a detailed location description within Santa Monica, California.",aircraft category object detection
"Remove clouds from an aerial image taken in the administrative area of Ward 4, Washington, D.C., on 15/09/2018.","I can assist with that. To proceed, please provide the specific latitude and longitude coordinates or a detailed address within Ward 4, Washington, D.C.",calculate Normalized difference vegetation index (NDVI)
"I need you to remove clouds from an aerial image captured in the town of Boulder, Colorado, on 05/07/2020.","Understood. For accurate cloud removal, please provide me with the latitude and longitude coordinates or a specific address within Boulder, Colorado.",change of building/land/water body detection
"Remove clouds from an aerial image taken in the commune of Zurich, Switzerland, on 30/06/2016.","To proceed, please provide the latitude and longitude coordinates or a detailed location description within Zurich, Switzerland.",land use/land cover in segmentation
"Can you remove clouds from an aerial image captured in the subdistrict of Venice, Italy, on 01/12/2019?","I'm here to assist. To proceed, please provide the latitude and longitude coordinates or a detailed location description within Venice, Italy.",cloud removal from aerial image
"Remove clouds from an aerial image taken in the administrative area of Ward 6, Washington, D.C., on 03/04/2015.","I can assist with that. For accurate cloud removal, please provide me with the specific latitude and longitude coordinates or a detailed address within Ward 6, Washington, D.C.",change of building/land/water body detection
"I need you to remove clouds from an aerial image captured in the subdistrict of Kyoto, Japan, on 25/09/2017.","Understood. To ensure accuracy, please provide the specific latitude and longitude coordinates or a detailed address within the subdistrict of Kyoto, Japan.",tree counting/detection
Count the number of trees in an area captured on 15/03/2019.,"To proceed, please provide the specific location details, including the administrative area, ward, commune, subdistrict, town, or village where you want me to count the trees.",calculate Normalized difference vegetation index (NDVI)
Count the number of trees in an area from today (26/10/2012) up to last summer (June 2012).,"However, to proceed, I'll need you to specify the precise location for the tree count, including the administrative area or ward level.",change of building/land/water body detection
Count the number of trees in an area from 01/01/2012 to today (26/10/2012).,"Understood. To provide accurate results, please specify the exact location, including the commune or subdistrict level, for this tree counting task.",land use/land cover in segmentation
Can you count the number of trees in an area from the previous summer (June 2012) to today (26/10/2012)?,"I'm here to assist. However, for precise results, please provide the specific location details, including the town or village level.",cloud removal from aerial image
Count the number of trees in an area from today (26/10/2012) up to two summers ago (June 2011).,"To proceed, could you specify the exact location, including the administrative area or ward, for this tree counting task?",car/automobile/four-wheeler/motorcar vehicle like object counting/detection
I want to count the number of trees in an area from 01/01/2010 to today (26/10/2012).,"I'm ready to assist. To ensure accurate results, please provide the specific location details, including the commune or subdistrict level.",car/automobile/four-wheeler/motorcar vehicle like object counting/detection
Can you count the number of trees in an area from today (26/10/2012) up to last month (September 2012)?,"However, for precise results, please specify the exact location, including the town or village level.",land use/land cover in segmentation
I need you to count the number of trees in an area from the previous summer (June 2010) to today (26/10/2012).,"Understood. To proceed, could you specify the exact location details, including the administrative area or ward?",aircraft category object detection
Count the number of trees in an area from 01/01/2009 to today (26/10/2012).,"I'm here to assist. For accurate results, please provide the specific location details, including the commune or subdistrict level.",land use/land cover in segmentation
Can you count the number of trees in an area from today (26/10/2012) up to two months ago (August 2012)?,"However, for precise results, please specify the exact location, including the town or village level.",change of building/land/water body detection
Detect changes in buildings in an area from today (18/02/2023) up to last summer (June 2022).,"To proceed, please provide the specific location details, including the administrative area, ward, commune, subdistrict, town, or village where you want me to detect changes in buildings.",calculate Normalized difference vegetation index (NDVI)
Detect changes in land features in a subdistrict from 01/01/2022 to today (18/02/2023).,"However, to proceed, I'll need you to specify the precise location for the change detection, including the administrative area or ward level.",cloud removal from aerial image
Identify changes in water bodies in a commune from the previous summer (June 2022) to today (18/02/2023).,"Understood. To provide accurate results, please specify the exact location, including the subdistrict or town level, for this change detection task.",change of building/land/water body detection
Can you detect changes in buildings in a village from today (18/02/2023) up to two summers ago (June 2021)?,"I'm here to assist. However, for precise results, please provide the specific location details, including the commune or subdistrict level.",aircraft category object detection
Identify changes in land features in an administrative area from today (18/02/2023) up to three months ago (November 2022).,"To proceed, could you specify the exact location, including the ward or village level, for this change detection task?",aircraft category object detection
I want to detect changes in water bodies in a town from 01/01/2021 to today (18/02/2023).,"I'm ready to assist. To ensure accurate results, please provide the specific location details, including the commune or ward level.",cloud removal from aerial image
Can you identify changes in buildings in a subdistrict from today (18/02/2023) up to last month (January 2023)?,"However, for precise results, please specify the exact location, including the village or commune level.",cloud removal from aerial image
Detect changes in land features in an administrative area from the previous summer (June 2022) to today (18/02/2023).,"Understood. To proceed, could you specify the exact location details, including the town or subdistrict level?",car/automobile/four-wheeler/motorcar vehicle like object counting/detection
Identify changes in water bodies in a village from 01/01/2022 to today (18/02/2023).,"I can assist with that. For accurate results, please provide the specific location details, including the commune or ward level.",cloud removal from aerial image
Can you detect changes in buildings in a commune from today (18/02/2023) up to two months ago (December 2022)?,"However, for precise results, please specify the exact location, including the administrative area or subdistrict level.",change of building/land/water body detection
Count the number of cars in an area from today (01/07/2020) up to last summer (June 2019).,"To proceed, please provide the specific location details, including the administrative area, ward, commune, subdistrict, town, or village where you want me to count the cars.",car/automobile/four-wheeler/motorcar vehicle like object counting/detection
Detect cars in a subdistrict from 01/01/2019 to today (01/07/2020).,"However, to proceed, I'll need you to specify the precise location for the car detection, including the administrative area or ward level.",change of building/land/water body detection
Identify automobiles in a commune from the previous summer (June 2020) to today (01/07/2020).,"Understood. To provide accurate results, please specify the exact location, including the subdistrict or town level, for this car detection task.",aircraft category object detection
Can you count motorcars in a village from today (01/07/2020) up to two summers ago (June 2018)?,"I'm here to assist. However, for precise results, please provide the specific location details, including the commune or subdistrict level.",aircraft category object detection
Count four-wheelers in an administrative area from today (01/07/2020) up to three months ago (April 2020).,"To proceed, could you specify the exact location, including the ward or village level, for this car detection task?",cloud removal from aerial image
I want to detect motorcars in a town from 01/01/2020 to today (01/07/2020).,"I'm ready to assist. To ensure accurate results, please provide the specific location details, including the commune or ward level.",change of building/land/water body detection
Can you identify automobiles in a subdistrict from today (01/07/2020) up to last month (June 2020)?,"However, for precise results, please specify the exact location, including the village or commune level.",car/automobile/four-wheeler/motorcar vehicle like object counting/detection
Detect cars in an administrative area from the previous summer (June 2019) to today (01/07/2020).,"Understood. To proceed, could you specify the exact location details, including the town or subdistrict level?",tree counting/detection
Identify four-wheelers in a village from 01/01/2018 to today (01/07/2020).,"I can assist with that. For accurate results, please provide the specific location details, including the commune or ward level.",change of building/land/water body detection
Can you detect cars in a commune from today (01/07/2020) up to two months ago (May 2020)?,"However, for precise results, please specify the exact location, including the administrative area or subdistrict level.",calculate Normalized difference vegetation index (NDVI)
Detect the category of aircraft in an area from today (29/06/2010) up to last summer (June 2009).,"To proceed, please provide the specific location details, including the administrative area, ward, commune, subdistrict, town, or village where you want me to detect the category of aircraft.",calculate Normalized difference vegetation index (NDVI)
Identify aircraft categories in a subdistrict from 01/01/2009 to today (29/06/2010).,"However, to proceed, I'll need you to specify the precise location for the aircraft category detection, including the administrative area or ward level.",car/automobile/four-wheeler/motorcar vehicle like object counting/detection
Can you detect aircraft types in a commune from the previous summer (June 2010) to today (29/06/2010)?,"Understood. To provide accurate results, please specify the exact location, including the subdistrict or town level, for this aircraft category detection task.",change of building/land/water body detection
Identify the categories of airplanes in a village from today (29/06/2010) up to two summers ago (June 2008)?,"I'm here to assist. However, for precise results, please provide the specific location details, including the commune or subdistrict level.",car/automobile/four-wheeler/motorcar vehicle like object counting/detection
Detect aircraft types in an administrative area from today (29/06/2010) up to three months ago (March 2010).,"To proceed, could you specify the exact location, including the ward or village level, for this aircraft category detection task?",calculate Normalized difference vegetation index (NDVI)
I want to identify aircraft categories in a town from 01/01/2010 to today (29/06/2010).,"I'm ready to assist. To ensure accurate results, please provide the specific location details, including the commune or ward level.",change of building/land/water body detection
Can you detect airplane types in a subdistrict from today (29/06/2010) up to last month (May 2010)?,"However, for precise results, please specify the exact location, including the village or commune level.",change of building/land/water body detection
Identify the categories of aircraft in an administrative area from the previous summer (June 2009) to today (29/06/2010).,"Understood. To proceed, could you specify the exact location details, including the town or subdistrict level?",calculate Normalized difference vegetation index (NDVI)
Detect aircraft types in a village from 01/01/2007 to today (29/06/2010).,"I can assist with that. For accurate results, please provide the specific location details, including the commune or ward level.",land use/land cover in segmentation
